１．ワイシャツ    ワイシャツをきる     ワイシャツをかう        ワイシャツをあらう
３１４．今晩（こんばん）    今晩は寒いです     　　今晩は　映画を見ます        今晩は　友達と食事します（しょくじ）
３１５．先週（せんしゅう）   先週は忙しかった      先週の金曜日に会いました     先週の天気は良かった
３１６．一日中（いちにち）   一日中働く（いちにちじゅう）  一日三回食べる（さんかい）   一日で終わる（おわる）
３１７．今朝（けさ）        今朝は寒いです       今朝  パンを食べました        今朝、雨が降りました
３１８．今月（こんげつ）    今月は忙しい      　　今月は予定は？               今月の目標を立てる（もくひょうをたてる）
３１９．七日（なのか）     なのかにあいましょう  　なのかかんりょこうします       七日で仕事を終わる
３２０．時間（じかん）　　　今何時です         　　時間がありません              時間を確認してください。（かくにんして）
３２１．少ない（すくない） お金が少ない            ひとがすくない             時間が少ない
３２２．メートル        この部屋は十メートルです   彼は百メートル走ります（はしります）   川は五メートル幅があります（かわはごめーとるはばがあります）
３２３．たくさん        たくさん食べます         たくさん勉強しました         たくさん友達がいます
３２４．一つ（ひとつ）    リンゴを一つください     一つのペンがあります        一つの部屋を借りた（かりた）
３２５．三つ（みっつ）    三つのリンゴ           みっつのボタン             三つの質問（しつもん）
３２６．六つ（むっつ） 　　六つのリンゴ        　　六つのペン               　六つの本
３２７．半分（はんぶん）  半分食べました       　　半分残ります（のこります） 　半分分けましょう（わけましょう）
３２８．九つ（ここのつ）   九つのリンゴ           九つのペン                九つの本
３２９．キロ（きろ）     十キロ走る（はしる）  　ごキロ歩く（あるく）         にキロ離れる（はなれる）
３３０．七つ（ななつ）   七つのリンゴ          七つのペン                 七つの本
３３１．五つ（いつつ） 　五つのリンゴ         　五つのボタン             　　五つの本
３３２．八つ（やっつ） 　八つのリンゴ         　八つのペン                 八つの本
３３３．いくつ         いくつリンゴがありますが　　  いくつかばんを持っていますか      いくつぺんが必要ですか
３３４．おおい         人が多い            　問題がおおい（もんだい）   　　本が多い
３３５．二つ（ふたつ）　リンゴがふたつあります 　二つペンを買いました         彼は二つのケーキを食べました
３３６．ゼロ（ぜろ）  　ゼロから始める（はじめる）  温度はゼロです             ゼロ点を取る
３３７．四つ（よっつ） 　リンゴがよっつがある   四つのボタンを押してください（おしてください）   四つの部屋があります
３３８．青い（あおい） 　空が青い（そらが）     青いシャツ            　　　あおい目
３３９．黒い（くろい） 　黒い猫がいる         彼は黒いふくをきている         黒い髪が好きです（くろいかみ）
３４０．黄色（きいろ）  黄色いはながすき       黄色いシャツをきている         黄色いリボンがある
３４１．黄色い（きいろい）　黄色いはながすきです       黄色いシャツをきています         黄色いリボンが可愛い
３４２．丸い（まるい） 　リンゴが丸い         ボールが丸い                このプレートは丸い
３４３．白い（しろい） 　しろいシャツ         白い雲（くも）              白い花
３４４．茶色（ちゃいろ） この犬はちゃいろだ  　彼女は茶色の髪がある     　　　茶色の靴を買った
３４５．赤い（あかい） 　リンゴを赤い         赤いドレス                 彼女は赤い口紅にぬる（あかいくちべに）
３４６．お茶（おちゃ）   お茶を飲みます       お茶が好きです             お茶を入れてください（いれて）
３４７．そば          駅のそばにいます      そばに来てください         　家のそばに公園がある
３４８．スプーン      スプーンを使ってください      スプーンがありますか      スプーンを洗いました（あらいました）
３４９．甘い（あまい） このケーキは甘い       甘い飲み物がすき         　　彼女は甘い物を食べる
３５０．コップ        コップをください     　コップに水を入れる          コップが割れた（われた）
３５１．コーヒー      コーヒーをのみます     コーヒーが好きです           コーヒーをください
３５２．昼ご飯        昼ご飯を食べます     　昼ご飯は何ですか           昼ご飯は好きです
３５３．鶏肉（とりにく）鶏肉を食べる      　　鶏肉がすき             　　鶏肉が買う
３５４．夕飯（ゆうはん）夕飯を食べる         夕飯は何ですが             夕飯を作ります（つくります）
３５５．食べ物        これはおいしい物です　　食べ物を買いにいきます      彼は食べ物が好きです
３５６．食堂（しょくどう）　食堂で昼ご飯を食べる    学校に食堂がある       食堂はどこですか
３５７．お酒（おさけ）　お酒を飲みます     　お酒が好きです              お酒を買いました
３５８．フォーク       フォークで食べる     フォークを持つ（もつ）     　フォークが必要（ひつよう）
３５９．飲む（のむ）   水を飲む           コーヒーをのむ             お茶を飲む
３６０．バター       トーストにバターを塗る（ぬる）   バターを使って料理する     バターは冷蔵庫にいれて置く
３６１．食べる       ケーキを食べる       リンゴを食べる         　　　パンを食べる
３６２．お菓子（おかし）お菓子が好きです    お菓子を食べる             お菓子を買いました

３６２．果物（くだもの）果物が好きです     果物を買いました            果物は健康にいい（けんこうにいい）
３６３．牛乳（ぎゅうにゅう）　牛乳を飲む    牛乳を買う               牛乳が好き
３６４．料理（りょうり）料理が好きです     料理を作ります             料理を食べます
３６５．カップ     　コーヒーカップ      紙カップ                  カップをあらう
３６６．レストラン   レストランで食べる   レストランが好きです      　レストランに行く
３６７．美味しい　　このリンゴはおいし     美味しいケーキを食べた     おいしいお寿司がすき
３６８．お皿（おさら） お皿を洗う       お皿に盛る（もる）           お皿が割れる（われる）
３６９．お弁当（おべんとう）  お弁当をたべる     お弁当を作ります      お弁当を持ってきます
３７０．朝ご飯　　　朝ご飯を食べます     朝ご飯をパンです             朝ご飯が好きです
３７１．パン      パンを食べる      　パンが好きです                パンを買いました
３７２．茶碗（ちゃわん）   これは私のちゃわんです      茶碗にご飯をいれてください       茶碗を洗ってください
３７３．カレー         　カレーを食べる            カレーが好きです                カレーを作ります
３７４．ご飯            今日のご飯はなに？         ご飯をたべましょう           　　ごはんを熱い
３７５．晩御飯（ばんごはん）  晩御飯を食べます        晩御飯を何ですか                晩御飯を作ります
３７６．グラム         　砂糖は五十グラム           塩は十グラム                  肉は二百グラム
３７７．八百屋（やおや）   八百屋で野菜を買う        八百屋は果物も売る               八百屋に行こう
３７８．牛肉（ぎゅうにく） 牛肉を食べます           牛肉が好きです                 牛肉をかいました
３７９．紅茶（こうちゃ）  紅茶を飲みます           紅茶がすきです                 紅茶をつくります
３８０．飲み物（のみもの）　みずは飲み物です      　コーヒーは暖かい飲み物です      　ジュースは冷たい飲み物です
３８１．醬油（しょうゆ）   醬油をかける           醬油がない                   醬油を買う
３８２．野菜（やさい）     野菜を食べる          野菜が好き                   野菜を買う
３８３．豚肉（ぶたにく）   豚肉を食べる       　　豚肉がすきです               豚肉を買いました
３８４．砂糖（さとう）     砂糖を入れてください  　さとうが足りない             砂糖を買う
３８５．そちら         　そちれはどうですか  　　そちれにいってください       　そちらの本はいいです
３８６．住む（すむ）      私は東京にすんでいます 　彼はアメリカに住んでいた       彼女は大阪に住む予定です
３８７．入口（いりぐち）   駅の入り口です         入り口はどこですか            入り口を右に曲がってください（みぎにまがってください）
３８８．廊下（ろうか） 　　ろうかで会いましょう    ろうかが長いです（ながい）   　　ろうかで走らないで
３８９．あそこ         　あそこに行こう        あそこは危ない（あぶない）       あそこで待ってる（まってる）
３９０．近く（ちかく）    駅の近くに住んでいます　　近くのコンビニで買い物をしました　　　近くに公園があります
３９１．トイレ          トイレはどこですか      トイレにいきます                トイレがきれいです
３９２．そこ          　そこに座って（すわって）　そこが痛い                     そこに置いて（そこにおいて）
３９３．どこ           　駅はどこですか         どこで会いましょうか            どこに住んでいますか
３９４．ドア             ドアを開けて（あけて）  ドアが閉まっている（しまっている） ドアをノックする
３９５．こちら         こちらは私の友達です      こちらへどうぞ                 こちらが私の家です
３９６．建物（たてもの）  あの建物は高い       　　あたらしい建物ができた          かれは建物に入った（はいった）
３９７．あちら          あちらはどこですか      あちらのみせはいいです            あちらへいってください
３９８．まっすぐ        道はまっすぐ行く        彼はまっすぐ立っている（たっている）  まっすぐみてください
３９９．向こう（むこう）　むこうにいえがある      むこうのひとはだれ               向こうへ行ってください
４００．こっち         こっちを見て          　こっちへ来て                   こっちがすき
４０１．あっち         あっちにいって         あっちがすき                  　あっちをみて
４０２．後ろ（うしろ）  猫がうしろにいる       うしろを見てください              彼はうしろに立った（たった）
４０３．玄関（げんかん）玄関で靴を脱ぐ（ぬぐ） 　玄関に傘を置く                　　玄関を掃除する
４０４．喫茶店（きっさてん）　喫茶店でコーヒーを飲む     喫茶店で勉強する         喫茶店でランチを食べる
４０５．へや          部屋がきれいです       部屋を探していました              部屋に入ります（はいります）
４０６．アパート       アパートに住む      　アパートを探す（さがす）           アパートの部屋
４０７．出口（でぐち） 　　　　駅の出口はどこですか  　出口を左に曲がってください      　　この出口からです
４０８．郵便局（ゆうびんきょく）　郵便局はどこですか      郵便局で手紙を出す（てがみをだす）　　郵便局で切手を買う（きってをかう）
４０９．近い（ちかい）　　　　　　家が近い            えきは近い                   友達がちかい　
４１０．ここ         ここは図書館です（としょかん）  ここで待ってください      ここから歩いて五分です
４１１．公園（こうえん）　　公園で遊ぶ（あそぶ）　公園に行く                    公園でピクニック
４１２．映画館（えいがかん）  映画館に行こう     　　映画館で映画を見る         映画館はどこですか
４１３．交差点（こうさてん）　交差点を右へ曲がる     交差点で信号待ち（しんごうまち）　交差点には警察がいる（けいさつがいる）
４１４．そっち             そっちに行く         そっちが好き               そっちが見て
４１５．地図（ちず）      地図を見て           　地図を持つ                  地図を買う
４１６．大使館（たいしかん）　たいしかんはどこですか　彼は大使館で働いています     大使館にいきましょう
４１７．熱い（あつい）     今日は暑いです         夏は暑い季節です（あついきせつ）　暑い日には水分補強が大切（すいぶんほきゅうがたいせつ）
４１８．降る（ふる）      雨がふる              雪が降る                  霧が降り（きりが降る）
４１９．晴れ（はれ）     今日は晴れです          明日は晴れるかな            晴れが好きです
４２０．曇り（くもり）   今日は曇りです          明日は曇りかな              曇り日が好き
４２１．晴れる（はれる）　今日は晴れる         　明日も晴れる                 週末は晴れる
４２２．天気（てんき） 　今日の天気は晴れです     明日の天気は雨です           天気予報を見ましたか（てんきよほう）
４２３．寒い（さむい） 　今日は寒いです          さむいあさです              冬は寒いです
４２４．涼しい（すずしい）　今日はすずしいです     風が涼しいです             涼しい夜
４２５．曇る（くもる）    今日は曇る            空が曇る （そらがくもる）   曇るひ
４２６．病院（びょういん）　病院に行く         びょういんがちかい           病院で働く
４２７．医者（いしゃ）     彼は医者です      医者に相談しょう（そうだんしょう）　医者が来ました
４２８．お腹（おなか）　　お腹がすいた        お腹が痛い                　お腹が膨れる（ふくれる）
４２９．病気（びょうき）  彼は病気です        病気が治りました（なおりました）    病気の予防が大事（びょうきのよぼうがだいじ）
４３０．風邪（かぜ）      風邪を引いた（ひいた）風邪薬をのむ（かぜくすり）    風邪で寝込む（ねこむ）
４３１．タバコ         タバコを吸います（すいます）　煙草を買います         タバコは禁止です（きんしです）
４３２．眼鏡（めがね） 　彼は眼鏡をかけている 　新しい眼鏡をかった          眼鏡を探しています
４３３．座る（すわる） 　椅子に座る          ベンチに座る              床に座る（ゆかにすわる）
４３４．撮る（とる）    写真を撮る          えいがを撮る              ビデオを撮る
４３５．要る（いる）    お金がいる         助けが要る                時間がいる
４３６．取る（とる）  　鉛筆をとる         荷物を取る                写真をとる
４３７．下手（へた）  　彼はうたが下手です　　私は料理がへた            かのじょは泳ぎがへた
４３８．する          勉強する        　　食事する                 買い物する
４３９．上げる（あげる）　音量を上げる（おんりょう）     てを上げる              　　値段をあげる（ねだんをあげる）
４４０．引く（ひく）  ドアを引く       　荷物を引く                  線を引く
４４１．並べる（ならべる）   本を並べる       くつをならべる         さらをならべる
４４２．返す（かえす）　　本を返す           お金を返す               かさを返しました
４４３．つける         眼鏡をつける      　ネクタいをつける           イヤリングをつける
４４４．居る（いる）  猫がここにいる         友達が家にいる             先生が教室にいる
４４５．見せる         写真を見せて      　新しいふくを見せる          彼にえをみせた
４４６．走る（はしる） 彼は速く走る（はやくはしる）犬が走っている         私は毎日走る
４４７．入る（はいる） 部屋に入る       　　学校に入る                 みせに入る
４４８．消す（けす）  電気を消す       　　音を消す                  火を消す（ひをけす）
４４９．立つ（たつ）  かれは立った        駅前にたつ                 旗が立つ（はたがたつ）
４５０．磨く（みがく）　歯を磨く（はをみがく）靴を磨く                 技術をみがく（ぎじゅつをみがく）
４５１．かかる       時間がかかる         お金がかかる             労力がかかる（ろうりょくがかかる）
４５２．始める（はじめる）　パーティーが始める 　春がはじめる         試合がはじめる（しあいがはじめる）
４５３．飛ぶ（とぶ）  とりが飛んでいます（とんでいます）　紙飛行機が飛ぶ（かみひこうきがとぶ）    彼は高く飛びました
４５４．書く（かく）  手紙を書く           名前を書く           日記をかく（にっき）
４５５．答える（こたえる）　質問に答える      先生が答える         電話に答える
４５６．入れる（いれる）　コーヒーにさとうを入れる   　かぎをポケットに入れる     荷物を車に入れる
４５７．開く（ひらく）    本を開く         窓を開く            ドアを開ける（あける）
４５８．開ける（あける）　窓を開ける      　ドアを開ける          はこをあける
４５９．切る（きる）     紙を切る         野菜を切る           電話を切る
４６０．作る（つくる）    ケーキを作る     友達を作る            計画を作る（けいかくをつくる）
４６１．吸う（すう）      たばこをすう    空気を吸う（くうきをすう）　匂いを吸う（におい）
４６２．出る（でる）      学校を出る      電話を出る            電車を出る
４６３．止まる（とまる）　バスが止まる     雨が止まる           時計が止まる
４６４．聞く（きく）     音楽を聞く      先生の話を聞く（はなしをきく）　電話で聞く
４６５．やる          　宿題をやる      そうじをやる          仕事をやる
４６６．使う（つかう）   鉛筆を使う       電話を使う           傘を使う
４６７．見る（みる）     映画を見る      猫を見る              友達を見る
４６８．出す（だす）  　　手紙をだす    　ごみを出す           声を出す（こえをだす）
４６９．来る（くる）     先生がくる      友達が来る           雨が来る
４７０．弾く（ひく）     かれはギターを弾く　　ピアノを弾くのが好き        彼女はうまく弾く（うまくひく）
４７１．呼ぶ（よぶ）  　　友達を呼ぶ     先生を呼ぶ           猫を呼ぶ
４７２．締める（しめる）　ベルトを締める    靴紐を締める（くつひもをしめる）    首を締める（くびをしめる）
４７３．脱ぐ（ぬぐ）     靴を脱ぐ         コートを脱ぐ                  帽子を脱ぐ（ぼうし）
４７４．待つ（まつ）     駅で友達を待つ  　バスを待っています              彼女は返事を待つ（へんじをまつ）
４７５．話す（はなす） 　彼は話す         私は話します                    先生が話す
４７６．読む（よむ）  　本を読む       　　新聞を読む（しんぶんをよむ ）     手紙を読む
４７７．歩く（あるく） 　まいにちあるく     公園であるく                   友達と歩く
４７８．生まれる（うまれる）  私は東京で生まれた     かれはアメリカで生まれた      この花は春に生まれる
４７９．持つ（もつ）  　鉛筆をもつ         傘をもつ                     荷物を持つ
４８０．押す（おす）  　ボタンを押す     　ドアを押す                  　エレベーターを押す
４８１．掛ける（かける）   電話を掛ける   　眼鏡をかける                 時計をかける
４８２．置く（おく）    本を机におく      傘を置き忘れた               かぎをおいて出る
４８３．曲がる（まがる）   みちが曲がる    右に曲がる                   角に曲がる
４８４．歌う（うたう）   彼は歌います     私たちは歌いました              彼女は上手にうたう
４８５．差す（さす）     かぎを差す       てをさす                     傘をさす
４８６．立派（りっぱ）   彼の家は立派だ   彼女は立派なせんせいだ         立派な仕事をしている
４８７．強い（つよい） 　彼は強いです     風が強い                    コーヒーが強い
４８８．可愛い（かわいい）この猫は可愛い   彼女はかわいい服をきている    　可愛い赤ちゃんだ（あかちゃんだ）
４８９．高い（たかい） 　このビールは高い   彼の身長は高い（しんちょうはたかい）　東京は物価が高い（ぶっかがたかい）
４９０．難しいい（むずかしい） 漢字は難しい  　この問題は難しい           日本語は難しい
４９１．大きい         この部屋は大きい    彼の声は大きい             やまは大きいです
４９２．厚い（あつい） 　この本はあつい     厚い毛布がある（もうふがある）   彼は厚いセーターをきている
４９３．薄い（うすい）   薄い本          うすいふく                    薄い壁（うすいかべ）
４９４．大きな（おおきな）大きな家です     大きな犬がいます               大きなきがある
４９５．小さな（ちいさな） ちいさないぬ    ちいさないえ                  ちいさなはな
４９６．短い（みじかい）  髪が短いです    短い夏やすみ                  短いスカート
４９７．狭い（せまい） 　部屋が狭い      道が狭い                    狭いはしを渡る（わたる）
４９８．綺麗（きれい） 　彼女は綺麗です  　部屋が綺麗になった           綺麗な花が咲いた（さいた）
４９９．太い（ふとい）　　ふといき       ふといえんぴつ                 太い脚（ふといあし）
５００．面白い（おもしろい）  このほんは面白い        彼の話は面白い     えいがは面白かった
５０１．長い（ながい） 　この道は長い     彼の髪は長い              映画は長かった
５０２．易しい（やさしい）この問題は易しい       彼は易しいひとです   このほんは易しいにほんで書かれている
５０３．汚い（きたない）　へやがきたない   きたないて            　　きたない言葉
５０４．低い（ひくい） 　
５０５，軽い（かるい） 　カバンが軽い      彼は軽い食事をする（しょくじをする） 　軽い運動を始める（はじめる）
５０６．小さい（ちいさい）   この部屋は小さい        子猫はちいさい         彼の声は小さい
５０７．細い（ほそい） 　ほそいせん      　細い道                    細い指
５０８．映画（えいが） 　映画を見ます　　　映画が好きです           映画館に行きます
５０９．雑誌（ざっし） 　雑誌を読む      雑誌を買う               雑誌を見る
