１．ワイシャツ    ワイシャツをきる     ワイシャツをかう        ワイシャツをあらう
７６．それ      それは猫です           それをください            それがすきです
７７．どちら    どちらがすきですか      どちらへいきますか          どちらがあなたのかばんですか
７８．それから   えいがをみて  それから ねました    　買い物をして　それから　いえにかえりました        しごとが終わって（おわって）それから  食事をしました（しょくじ）
７９．コピーする   文章をコピーする（ぶんしょうをこぴーする）    写真をコピーする        データをコピーする
８０．いろいろ    いろいろな果物がある       いろいろ考えだ（かんがえだ）      いろいろ助けてくれてありがとう
８１．どうぞ      どうぞ、おはいりください        どうぞ、お召し上がりください（おめしあがりください）      どうぞ、お座りください（おすわりください）
８２．とても      とてもおいしい         　とてもさむい             とてもたかい
８３．どうして     どうしてないている       どうして遅れた（おくれた）   どうして知らない（しらない）
８４．どなた      どなたですか          　　どなたが先生ですか     　どなたを探していますか（さがして）
８５．大勢（たいせい）　たいせいのひとがいる      たいせいでいこう        たいせいがあつまった
８６．など       りんごなどをかう        　とうきょうなどにいく         いぬなどのどうぶつ
８７．はじめて    はじめてすしをたべた　　　　はじめてにほんにいった    　　はじめてゆきをみた
８８．あなた      あなたはだれですか       あなたのなまえは            あなたはがくせいですか
８９．せんせい    たなかせんせいはきびしい   せんせいに質問しました       せんせいやさしいです
９０．手紙       てがみがかく          　　てがみをおくる           てがみをよむ
９１．分かる（わかる）　　　これはわかります      かれはわかりません       わかりましたか
９２．あまり      あまりたべない         　あまりさむくない           あまりすきじゃない
９３．自分（じぶん）　じぶんはがくせいです      じぶんのへやをそうじする     自分で料理を作る（りょうりをつくる）
９４．カメラ        カメラをかいました        カメラで写真をとります      カメラがすきです
９５．いいえ       いいえ、わかりません     　いいえ　大丈夫です（だいじょうぶ）　いいえ、ありがとう
９６．ええ       　ええ、わかりました        ええ、いいですよ          ええ　そうです
９７．この       このほんはおもしろい        このくるまははやい        このリンゴはおいしい
９８．たぶん      たぶんあめがふる           たぶんかれはくる         たぶんあしたはあつい
９９．また       またあいましょう        　　またらいしゅう           またあめがふる
１００．知る（しる）  かれはなまえをしります     わたしはそのはなしをしっています        彼女は答えを知らない（しらない）
１０１．では     では、はじめましょう       では、またあした           では、おねがいします
１０２．ゆっくりと   ゆっくりと歩く（あるく）　ゆっくりとはなす       ゆっくりとたべる
１０３．ちょうど      ちょうどいいサイズ         ちょうどじゅうじです      ちょうど一週間（ちょうどいっしゅうかん）
１０４．しかし     あめがふった、しかしいった   かれはつかれた、しかし続けた（つづけた）    しけんは難しい、しかしごうかくした
１０５．ぺん      ぺんを買う               ぺんでかく               ぺんをもつ
１０６．じしょ     じしょをかいました       じしょをつかいます       　じしょを開きます（ひらきます）
１０７．一番（いちばん）    いちばんすき      いちばんはやい         　いちばんたかい
１０８．言葉（ことば）     ことばをべんきょうする     かれのことばは優しい（やさしい）    あたらしいことばを覚える（おぼえる）
１０９．なぜ            なぜ遅れたの（おくれたの）   なぜないている    なぜ彼がすき
１１０．その          そのほんは面白い        そのいぬはかわいい       そのひとはせんせいです
１１１．ほんとう　　　　これはほんとうですか     ほんとうにありがとう   　かれはほんとうに怒っている（おこっている）
